currentSamp,prevSamp,output
-0.2844757487,-0.2811531993,-0.2924804688
-0.2875175194,-0.2844757487,-0.2959594727
-0.2903253076,-0.2875175194,-0.2989501953
-0.2928991136,-0.2903253076,-0.3016052246
-0.2952857336,-0.2928991136,-0.304107666
-0.2976255572,-0.2952857336,-0.3062438965
-0.2997781948,-0.2976255572,-0.3083190918
-0.3017904431,-0.2997781948,-0.3100891113
-0.3038962843,-0.3017904431,-0.3118896484
-0.3058617361,-0.3038962843,-0.3134765625
-0.3077803914,-0.3058617361,-0.3150024414
-0.3096990467,-0.3077803914,-0.3165283203
-0.3116644985,-0.3096990467,-0.3180236816
-0.3135831539,-0.3116644985,-0.3193664551
-0.3154550127,-0.3135831539,-0.3207702637
-0.3172332786,-0.3154550127,-0.322265625
-0.3190115445,-0.3172332786,-0.3235473633
-0.3206962175,-0.3190115445,-0.3248901367
-0.322240501,-0.3206962175,-0.3260803223
-0.3238315811,-0.322240501,-0.3273010254
-0.3251418822,-0.3238315811,-0.3283691406
-0.3264521834,-0.3251418822,-0.3293762207
-0.3275752988,-0.3264521834,-0.3302612305
-0.3284644317,-0.3275752988,-0.3310546875
-0.3292131752,-0.3284644317,-0.3316040039
-0.3297747329,-0.3292131752,-0.3320922852
-0.3301959011,-0.3297747329,-0.3323059082
-0.3303362906,-0.3301959011,-0.3323669434
-0.330383087,-0.3303362906,-0.3323059082
-0.3302426976,-0.330383087,-0.3319702148
-0.3299619188,-0.3302426976,-0.3315124512
-0.3294939541,-0.3299619188,-0.3308410645
-0.3288856,-0.3294939541,-0.330078125
-0.3280900599,-0.3288856,-0.3291015625
-0.3271541305,-0.3280900599,-0.3280029297
-0.3261714046,-0.3271541305,-0.3267211914
-0.3250014928,-0.3261714046,-0.3252563477
-0.3236443952,-0.3250014928,-0.3237304688
-0.3222872975,-0.3236443952,-0.322052002
-0.3208834034,-0.3222872975,-0.3203125
-0.3192923233,-0.3208834034,-0.3183288574
-0.3175608539,-0.3192923233,-0.3163452148
-0.3157357915,-0.3175608539,-0.3143310547
-0.3138171362,-0.3157357915,-0.3121032715
-0.311711295,-0.3138171362,-0.309753418
-0.3093714714,-0.311711295,-0.3073120117
-0.3067976655,-0.3093714714,-0.3047790527
-0.3039898772,-0.3067976655,-0.3019714355
-0.3008077172,-0.3039898772,-0.2989807129
-0.2972511854,-0.3008077172,-0.2956848145
-0.2931330959,-0.2972511854,-0.2921447754
-0.2885470417,-0.2931330959,-0.2882080078
-0.283212244,-0.2885470417,-0.2838134766
-0.2771287027,-0.283212244,-0.2788696289
-0.270202825,-0.2771287027,-0.2733459473
-0.2622942214,-0.270202825,-0.2670593262
-0.2533092989,-0.2622942214,-0.2599487305
-0.2432012611,-0.2533092989,-0.2519836426
-0.2317829221,-0.2432012611,-0.2428894043
-0.2190074855,-0.2317829221,-0.2327270508
-0.2045005794,-0.2190074855,-0.2214050293
-0.1884025933,-0.2045005794,-0.2086791992
-0.170900713,-0.1884025933,-0.1944580078
-0.1514801774,-0.170900713,-0.1785583496
-0.1304217654,-0.1514801774,-0.1610717773
-0.1073979015,-0.1304217654,-0.1421203613
-0.08264256823,-0.1073979015,-0.1213684082
-0.0561557655,-0.08264256823,-0.09869384766
-0.02803108628,-0.0561557655,-0.07434082031
0.001544283551,-0.02803108628,-0.04821777344
0.03266393693,0.001544283551,-0.02047729492
0.06518748445,0.03266393693,0.008728027344
0.09827258963,0.06518748445,0.03948974609
0.1328551819,0.09827258963,0.07144165039
